latitudine_1,longitudine_1
-27.5999343,-48.5194562
-27.5886922,-48.5508719
-1.448992,-48.500033
-1.4523773,-48.5038639
-1.4544235,-48.5053398
-1.4528393,-48.4812614
-1.4637285,-48.5054321
-1.4580215,-48.4949791
-1.4458661,-48.4892988
-1.3935421,-48.4208612
-1.457865,-48.464454
-1.3659818,-48.3434903
-10.1868192,-48.3339513
-10.2097323,-48.3244783
-10.1894875,-48.3644603
-10.1837325,-48.3478688
-10.1790226,-48.3599113
-10.1933698,-48.3305209
0.0311078,-51.0493353
0.0007124,-51.0783025
0.0348201,-51.0469555
0.0368768,-51.0521533
0.0288829,-51.0682935
0.0312337,-51.0632051
-0.0087449,-51.0806712
-0.04015,-51.17203
0.03108,-51.0626
-2.5292115,-44.3061732
-2.5274426,-44.306778
-2.529086,-44.3026202
-2.5279775,-44.3045747
-2.4828621,-44.2547013
-2.527335,-44.2552409
-2.5338764,-44.2247782
-2.5495666,-44.241009
-2.56963,-44.22304
2.8137534,-60.6686417
2.8204234,-60.6722275
2.8136257,-60.6689313
2.837253,-60.6807447
2.8504233,-60.7066943
2.8553214,-60.6448326
2.82394,-60.71855
-5.7564051,-35.195036
-5.8777062,-35.1745278
-5.8105456,-35.1954331
-5.8838618,-35.1656253
-5.7881871,-35.2039714
-5.81125,-35.2063216
-5.8421084,-35.2117392
-5.8143078,-35.206149
-5.7805346,-35.1964117
-5.8039565,-35.2126959
-7.1151102,-34.8228597
-7.1487602,-34.7969618
-7.1206536,-34.8797122
-7.1190728,-34.8832746
-7.105755,-34.8282032
-7.0989642,-34.8450862
-7.1164147,-34.8798876
-7.1620174,-34.8333356
-10.9879033,-37.0491565
-10.9174275,-37.0476884
-11.0097646,-37.0652199
-10.9443577,-37.0535739
-10.943169,-37.0601671
-10.9446642,-37.0475625
-10.92562,-37.07298
-10.96923,-37.0588
-10.85225,-37.07984
-9.6681319,-35.7145263
-9.7697121,-35.8425886
-9.6602708,-35.7398929
-9.6632638,-35.7330637
-9.6273265,-35.6996143
-9.64787,-35.71617
-9.64875,-35.73894
-5.0857933,-42.8030196
-5.0902313,-42.8108555
-5.0912747,-42.8119519
-5.0773684,-42.8017764
-5.0853106,-42.7906683
-5.1191945,-42.7952003
-5.0900012,-42.834555
-5.0783739,-42.7485412
-5.0685887,-42.747418
-20.3294133,-40.2879152
-20.2822041,-40.2897378
-20.2765176,-40.2982627
-20.3213229,-40.3398855
-20.3120737,-40.2880683
-20.3052576,-40.2917748
-20.19362,-40.26596
-20.33322,-40.35894
-20.34283,-40.40055
-23.5236786,-46.8939034
-23.5254483,-46.3334494
-23.5363155,-46.2277955
-23.5170802,-46.8379756
-23.5334248,-46.7796853
-23.5045588,-46.8509371
-23.5043534,-46.8369255
-23.5187066,-46.8382247
-23.3296758,-46.7289516
-23.5235508,-46.8178711
-16.7028358,-49.2430423
-16.6821121,-49.2648105
-16.6803243,-49.2583849
-16.7104426,-49.2747825
-16.7115049,-49.2391923
-16.7089072,-49.2737497
-16.6955117,-49.2653011
-16.6542482,-49.3319584
-16.6594929,-49.2622672
-16.6058012,-49.2710222
-15.5853206,-56.1185214
-15.5948116,-56.0948347
-15.5990845,-56.1040472
-15.5977342,-56.0984675
-15.608351,-56.1065689
-15.5901413,-56.1223375
-15.5755744,-56.075016
-15.6123721,-56.0763207
-15.6555438,-56.1275827
-15.5879535,-56.1146603
-22.9059382,-47.0604408
-22.9092784,-47.0509053
-22.8752693,-47.0547665
-22.9096954,-47.0490506
-22.8926697,-47.0276255
-22.8475979,-47.0632259
-22.8634288,-47.023523
-22.8181846,-47.066288
-22.9254922,-47.1271747
-23.9325409,-46.3300882
-23.9862184,-46.3081864
-23.9697361,-46.3373194
-23.9654372,-46.3494394
-23.949981,-46.3334762
-23.9689984,-46.3325082
-23.9769162,-46.3100966
-23.9660912,-46.3346326
-23.9671067,-46.3837583
-23.9650584,-46.3324525
-12.2507385,-38.9615916
-12.2592975,-38.9683642
-12.2641377,-38.9453496
-12.2395635,-38.9793835
-12.2391162,-38.9735763
-12.2413585,-38.9486019
-12.2544803,-38.9663295
-12.2547449,-38.9733956
-12.2549682,-38.9652141
-21.174445,-47.8100403
-21.1959835,-47.7942919
-21.1658161,-47.8545385
-21.171704,-47.8000758
-21.2126115,-47.8160349
-21.1823873,-47.8083302
-21.2072216,-47.7682183
-21.2256673,-47.8347724
-21.23304,-47.7885392
-9.9797401,-67.8079524
-9.9750629,-67.8097202
-9.9466343,-67.8274993
-9.9713516,-67.8094416
-9.9861289,-67.8477138
-9.9730467,-67.8052008
-9.976396,-67.8073557
-9.9739968,-67.8117345
-20.4510708,-54.5734239
-20.4548895,-54.5675596
-20.4647868,-54.6165822
-20.4691449,-54.6228897
-20.4665053,-54.6199445
-20.4577151,-54.5879709
-20.39755,-54.5592405
-20.4609323,-54.6185042
-20.4797823,-54.6267158
-20.5040697,-54.6140648
-8.763198,-63.9061038
-8.7621066,-63.9040394
-8.7483676,-63.8761168
-8.77225,-63.89554
-8.78601,-63.86119
